,loc_2,name,phone,location,location_0,location_1,CODE,NAME,X,Y,loc,loc_0,loc_1,scale
72,경상북도 영양군,3,3,3,3,3,47760,영양군,129.149,36.686,경상북도 영양군,경상북도,영양군,0.022988505747126436
73,경상북도 영주시,14,14,14,14,14,47210,영주시,128.585,36.8805,경상북도 영주시,경상북도,영주시,0.14942528735632185
74,경상북도 영천시,15,15,15,15,15,47230,영천시,128.9225,36.0075,경상북도 영천시,경상북도,영천시,0.16091954022988506
75,경상북도 예천군,10,10,10,10,10,47900,예천군,128.43599999999998,36.6515,경상북도 예천군,경상북도,예천군,0.10344827586206896
76,경상북도 울릉군,1,1,1,1,1,47940,울릉군,130.938,37.531000000000006,경상북도 울릉군,경상북도,울릉군,0.0
77,경상북도 울진군,5,5,5,5,5,47930,울진군,129.2775,36.894999999999996,경상북도 울진군,경상북도,울진군,0.04597701149425287
78,경상북도 의성군,14,14,14,14,14,47730,의성군,128.59199999999998,36.3615,경상북도 의성군,경상북도,의성군,0.14942528735632185
79,경상북도 청도군,8,8,8,8,8,47820,청도군,128.78699999999998,35.7065,경상북도 청도군,경상북도,청도군,0.08045977011494253
80,경상북도 청송군,3,3,3,3,3,47750,청송군,129.051,36.378,경상북도 청송군,경상북도,청송군,0.022988505747126436
81,경상북도 칠곡군,9,9,9,9,9,47850,칠곡군,128.462,36.006,경상북도 칠곡군,경상북도,칠곡군,0.09195402298850575
82,광주광역시 광산구,30,30,30,30,30,29200,광산구,126.7535,35.164500000000004,광주광역시 광산구,광주광역시,광산구,0.3333333333333333
83,광주광역시 남구,21,21,21,21,21,29155,남구,126.8415,35.102000000000004,광주광역시 남구,광주광역시,남구,0.22988505747126436
84,광주광역시 동구,8,8,8,8,8,29110,동구,126.9555,35.119,광주광역시 동구,광주광역시,동구,0.08045977011494253
85,광주광역시 북구,34,34,34,34,34,29170,북구,126.9285,35.1895,광주광역시 북구,광주광역시,북구,0.3793103448275862
86,광주광역시 서구,30,30,30,30,30,29140,서구,126.8555,35.135000000000005,광주광역시 서구,광주광역시,서구,0.3333333333333333
