,Unnamed: 0,CODE,NAME,X,Y,orgNm,weight,법정동명
99,117,42110,춘천시,127.76799999999999,37.8805,강원도 춘천시,6121,강원도 춘천시
100,118,42130,원주시,127.98100000000001,37.325,강원도 원주시,8233,강원도 원주시
101,119,42150,강릉시,128.8265,37.7105,강원도 강릉시,6783,강원도 강릉시
102,120,42170,동해시,129.058,37.516,강원도 동해시,2901,강원도 동해시
103,121,42190,태백시,128.98149999999998,37.20399999999999,강원도 태백시,834,강원도 태백시
104,122,42210,속초시,128.518,38.174,강원도 속초시,4734,강원도 속초시
105,123,42230,삼척시,129.10399999999998,37.258,강원도 삼척시,1199,강원도 삼척시
106,124,42720,홍천군,128.062,37.7485,강원도 홍천군,1746,강원도 홍천군
107,125,42730,횡성군,128.031,37.4895,강원도 횡성군,1181,강원도 횡성군
108,126,42750,영월군,128.5085,37.2185,강원도 영월군,631,강원도 영월군
109,127,42760,평창군,128.5045,37.544000000000004,강원도 평창군,556,강원도 평창군
110,128,42770,정선군,128.748,37.3695,강원도 정선군,2549,강원도 정선군
111,129,42780,철원군,127.45299999999999,38.2135,강원도 철원군,1848,강원도 철원군
112,130,42790,화천군,127.6725,38.141,강원도 화천군,614,강원도 화천군
113,131,42800,양구군,128.012,38.1655,강원도 양구군,301,강원도 양구군
114,132,42810,인제군,128.2465,38.096,강원도 인제군,673,강원도 인제군
115,133,42820,고성군,128.425,38.389,강원도 고성군,902,강원도 고성군
116,134,42830,양양군,128.60649999999998,38.012,강원도 양양군,1065,강원도 양양군
117,139,43130,충주시,127.89249999999998,37.0045,충청북도 충주시,3854,충청북도 충주시
118,140,43150,제천시,128.1275,37.035,충청북도 제천시,2655,충청북도 제천시
119,141,43720,보은군,127.7105,36.4915,충청북도 보은군,800,충청북도 보은군
120,142,43730,옥천군,127.6885,36.308,충청북도 옥천군,2234,충청북도 옥천군
121,143,43740,영동군,127.8225,36.164,충청북도 영동군,1820,충청북도 영동군
122,144,43745,증평군,127.6005,36.7805,충청북도 증평군,731,충청북도 증평군
123,145,43750,진천군,127.4375,36.8805,충청북도 진천군,1568,충청북도 진천군
124,146,43760,괴산군,127.8465,36.7745,충청북도 괴산군,1036,충청북도 괴산군
125,148,43800,단양군,128.4345,36.98,충청북도 단양군,877,충청북도 단양군
126,151,44150,공주시,127.083,36.478,충청남도 공주시,4975,충청남도 공주시
127,152,44180,보령시,126.053,36.2025,충청남도 보령시,2102,충청남도 보령시
128,153,44200,아산시,126.974,36.7955,충청남도 아산시,8165,충청남도 아산시
129,154,44210,서산시,126.3365,36.9075,충청남도 서산시,4655,충청남도 서산시
130,155,44230,논산시,127.158,36.2015,충청남도 논산시,3832,충청남도 논산시
131,156,44250,계룡시,127.244,36.291,충청남도 계룡시,737,충청남도 계룡시
132,157,44270,당진시,126.6605,36.908,충청남도 당진시,4549,충청남도 당진시
