,CODE,NAME,X,Y
223,47920,봉화군,128.9125,36.923500000000004
224,47930,울진군,129.2775,36.894999999999996
225,47940,울릉군,130.938,37.531000000000006
226,48121,창원시 의창구,128.6655,35.232
227,48123,창원시 성산구,128.67000000000002,35.1985
228,48125,창원시 마산합포구,128.5725,35.06
229,48127,창원시 마산회원구,128.5505,35.227000000000004
230,48129,창원시 진해구,128.7655,35.064
231,48170,진주시,128.128,35.200500000000005
232,48220,통영시,128.3845,34.9045
233,48240,사천시,128.0315,35.039
234,48250,김해시,128.8535,35.2725
235,48270,밀양시,128.7975,35.492999999999995
236,48310,거제시,128.71300000000002,34.786
237,48330,양산시,129.04649999999998,35.403
238,48720,의령군,128.2615,35.3855
239,48730,함안군,128.433,35.283
240,48740,창녕군,128.5015,35.525999999999996
241,48820,고성군,128.2225,34.9285
242,48840,남해군,128.047,34.6865
243,48850,하동군,127.8315,34.936
244,48860,산청군,127.9015,35.3975
245,48870,함양군,127.7315,35.5435
246,48880,거창군,127.887,35.712
247,48890,합천군,128.167,35.6
248,50110,제주시,126.227,33.408500000000004
249,50130,서귀포시,126.2675,33.117999999999995
